seed,branch,family,observed_delta,expected_linear_delta,interaction_residual
42,mix_s000_c000_r100,sts,0.0005660229809314096,0.0005660229809314096,0.0
42,mix_s000_c020_r080,sts,-0.007666970905756909,-0.03844757561257845,0.030780604706821542
42,mix_s000_c040_r060,sts,-0.05370070819300545,-0.0774611742060883,0.023760466013082855
42,mix_s000_c060_r040,sts,-0.09671689573267016,-0.11647477279959816,0.019757877066927998
42,mix_s000_c080_r020,sts,-0.13563802921210297,-0.15548837139310803,0.019850342181005065
42,mix_s000_c100_r000,sts,-0.19450196998661787,-0.19450196998661787,0.0
42,mix_s020_c000_r080,sts,0.003311856857417176,0.0021818841445387597,0.0011299727128784164
42,mix_s020_c020_r060,sts,-0.024557908110295273,-0.0368317144489711,0.012273806338675825
42,mix_s020_c040_r040,sts,-0.06592488047169337,-0.07584531304248096,0.00992043257078759
42,mix_s020_c060_r020,sts,-0.10628248286608206,-0.1148589116359908,0.008576428769908731
42,mix_s020_c080_r000,sts,-0.1140788669444695,-0.1538725102295007,0.03979364328503118
42,mix_s040_c000_r060,sts,-0.0011112147933226753,0.0037977453081461093,-0.004908960101468784
42,mix_s040_c020_r040,sts,-0.031451737817702274,-0.03521585328536375,0.0037641154676614774
42,mix_s040_c040_r020,sts,-0.05983099096996112,-0.0742294518788736,0.014398460908912482
42,mix_s040_c060_r000,sts,-0.05299351668123483,-0.11324305047238345,0.06024953379114862
42,mix_s060_c000_r040,sts,-0.003045287667003497,0.005413606471753458,-0.008458894138756955
42,mix_s060_c020_r020,sts,-0.027311287059268736,-0.0335999921217564,0.006288705062487663
42,mix_s060_c040_r000,sts,-0.023898623516454758,-0.07261359071526625,0.04871496719881149
42,mix_s080_c000_r020,sts,-0.006894892154774772,0.007029467635360809,-0.013924359790135581
42,mix_s080_c020_r000,sts,-0.0027457939331915204,-0.031984130958149046,0.029238337024957525
42,mix_s100_c000_r000,sts,0.008645328798968158,0.008645328798968158,0.0
42,mix_s033_c033_r033,sts,-0.05685933554497815,-0.06176353940223943,0.004904203857261279
