seed,branch,family,delta
42,control,sts,0.013483777883215512
42,control,classification,0.011535173684210509
42,control,classification_transfer,0.018432124999999994
42,control,clustering,-0.05114550000000001
42,control,retrieval,-0.0033424999999999705
42,mix_s000_c000_r100,sts,0.0005660229809314096
42,mix_s000_c000_r100,classification,0.00440265263157893
42,mix_s000_c000_r100,classification_transfer,0.006851999999999997
42,mix_s000_c000_r100,clustering,-0.04124550000000002
42,mix_s000_c000_r100,retrieval,-0.002899999999999972
42,mix_s000_c020_r080,sts,-0.007666970905756909
42,mix_s000_c020_r080,classification,0.005992597368421016
42,mix_s000_c020_r080,classification_transfer,0.006767062499999976
42,mix_s000_c020_r080,clustering,-0.05404800000000001
42,mix_s000_c020_r080,retrieval,-0.00905999999999997
42,mix_s000_c040_r060,sts,-0.05370070819300545
42,mix_s000_c040_r060,classification,-0.0010867894736842243
42,mix_s000_c040_r060,classification_transfer,-0.004088750000000016
42,mix_s000_c040_r060,clustering,-0.06848100000000001
42,mix_s000_c040_r060,retrieval,-0.02283499999999998
42,mix_s000_c060_r040,sts,-0.09671689573267016
42,mix_s000_c060_r040,classification,-0.012505792105263203
42,mix_s000_c060_r040,classification_transfer,-0.019711187500000046
42,mix_s000_c060_r040,clustering,-0.072627
42,mix_s000_c060_r040,retrieval,-0.04956749999999999
42,mix_s000_c080_r020,sts,-0.13563802921210297
42,mix_s000_c080_r020,classification,-0.028385026315789486
42,mix_s000_c080_r020,classification_transfer,-0.04021812500000001
42,mix_s000_c080_r020,clustering,-0.08237450000000002
42,mix_s000_c080_r020,retrieval,-0.09104999999999998
42,mix_s000_c100_r000,sts,-0.19450196998661787
42,mix_s000_c100_r000,classification,-0.05965049736842106
42,mix_s000_c100_r000,classification_transfer,-0.08008943750000001
42,mix_s000_c100_r000,clustering,-0.1014235
42,mix_s000_c100_r000,retrieval,-0.263255
42,mix_s020_c000_r080,sts,0.003311856857417176
42,mix_s020_c000_r080,classification,0.008782660526315777
42,mix_s020_c000_r080,classification_transfer,0.011373062500000003
42,mix_s020_c000_r080,clustering,-0.03298300000000001
42,mix_s020_c000_r080,retrieval,0.0024400000000000255
42,mix_s020_c020_r060,sts,-0.024557908110295273
42,mix_s020_c020_r060,classification,0.00864523421052631
42,mix_s020_c020_r060,classification_transfer,0.008964437499999992
42,mix_s020_c020_r060,clustering,-0.050393999999999994
42,mix_s020_c020_r060,retrieval,-0.011452499999999977
42,mix_s020_c040_r040,sts,-0.06592488047169337
42,mix_s020_c040_r040,classification,-0.005491839473684213
42,mix_s020_c040_r040,classification_transfer,-0.009595062500000001
42,mix_s020_c040_r040,clustering,-0.0494705
42,mix_s020_c040_r040,retrieval,-0.030355000000000007
42,mix_s020_c060_r020,sts,-0.10628248286608206
42,mix_s020_c060_r020,classification,-0.02224072894736845
42,mix_s020_c060_r020,classification_transfer,-0.03201143750000003
42,mix_s020_c060_r020,clustering,-0.06713949999999999
42,mix_s020_c060_r020,retrieval,-0.07503999999999997
42,mix_s020_c080_r000,sts,-0.1140788669444695
42,mix_s020_c080_r000,classification,-0.05237614210526319
42,mix_s020_c080_r000,classification_transfer,-0.07017412500000002
42,mix_s020_c080_r000,clustering,-0.076021
42,mix_s020_c080_r000,retrieval,-0.19667749999999998
42,mix_s040_c000_r060,sts,-0.0011112147933226753
42,mix_s040_c000_r060,classification,0.01109315526315786
42,mix_s040_c000_r060,classification_transfer,0.012813812499999966
42,mix_s040_c000_r060,clustering,-0.02537600000000001
42,mix_s040_c000_r060,retrieval,-0.0010499999999999815
42,mix_s040_c020_r040,sts,-0.031451737817702274
42,mix_s040_c020_r040,classification,0.0057025394736841765
42,mix_s040_c020_r040,classification_transfer,0.004858437499999979
42,mix_s040_c020_r040,clustering,-0.047851000000000005
42,mix_s040_c020_r040,retrieval,-0.012982499999999994
42,mix_s040_c040_r020,sts,-0.05983099096996112
42,mix_s040_c040_r020,classification,-0.012894518421052626
42,mix_s040_c040_r020,classification_transfer,-0.019308937499999984
42,mix_s040_c040_r020,clustering,-0.0519415
42,mix_s040_c040_r020,retrieval,-0.05341249999999999
42,mix_s040_c060_r000,sts,-0.05299351668123483
42,mix_s040_c060_r000,classification,-0.037353473684210534
42,mix_s040_c060_r000,classification_transfer,-0.050705
42,mix_s040_c060_r000,clustering,-0.059756000000000004
42,mix_s040_c060_r000,retrieval,-0.13332999999999998
42,mix_s060_c000_r040,sts,-0.003045287667003497
42,mix_s060_c000_r040,classification,0.008669455263157854
42,mix_s060_c000_r040,classification_transfer,0.009784187499999958
42,mix_s060_c000_r040,clustering,-0.04284950000000001
42,mix_s060_c000_r040,retrieval,-0.006859999999999991
42,mix_s060_c020_r020,sts,-0.027311287059268736
42,mix_s060_c020_r020,classification,-0.003238036842105296
42,mix_s060_c020_r020,classification_transfer,-0.006679125000000022
42,mix_s060_c020_r020,clustering,-0.044397500000000006
42,mix_s060_c020_r020,retrieval,-0.03578499999999997
42,mix_s060_c040_r000,sts,-0.023898623516454758
42,mix_s060_c040_r000,classification,-0.021271968421052646
42,mix_s060_c040_r000,classification_transfer,-0.02978075000000001
42,mix_s060_c040_r000,clustering,-0.03886850000000003
42,mix_s060_c040_r000,retrieval,-0.10046249999999997
42,mix_s080_c000_r020,sts,-0.006894892154774772
42,mix_s080_c000_r020,classification,0.0024741289473683703
42,mix_s080_c000_r020,classification_transfer,0.0023031874999999563
42,mix_s080_c000_r020,clustering,-0.051364999999999994
42,mix_s080_c000_r020,retrieval,-0.02425499999999997
42,mix_s080_c020_r000,sts,-0.0027457939331915204
42,mix_s080_c020_r000,classification,-0.008307947368421076
42,mix_s080_c020_r000,classification_transfer,-0.012786250000000013
42,mix_s080_c020_r000,clustering,-0.03701300000000002
42,mix_s080_c020_r000,retrieval,-0.07006999999999997
42,mix_s100_c000_r000,sts,0.008645328798968158
42,mix_s100_c000_r000,classification,-0.002891055263157949
42,mix_s100_c000_r000,classification_transfer,-0.003811187500000049
42,mix_s100_c000_r000,clustering,-0.050303000000000014
42,mix_s100_c000_r000,retrieval,-0.036582499999999976
42,mix_s033_c033_r033,sts,-0.05685933554497815
42,mix_s033_c033_r033,classification,-0.003696384210526327
42,mix_s033_c033_r033,classification_transfer,-0.0071533750000000035
42,mix_s033_c033_r033,clustering,-0.05146600000000001
42,mix_s033_c033_r033,retrieval,-0.034389999999999976
43,control,sts,0.012935473632926483
43,control,classification,0.007675728947368399
43,control,classification_transfer,0.012555187499999995
43,control,clustering,-0.03208550000000002
43,control,retrieval,-0.006554999999999991
43,mix_s000_c000_r100,sts,0.00012754155154337532
43,mix_s000_c000_r100,classification,0.00527449210526314
43,mix_s000_c000_r100,classification_transfer,0.008172062499999994
43,mix_s000_c000_r100,clustering,-0.045075000000000004
43,mix_s000_c000_r100,retrieval,-0.0041049999999999975
43,mix_s000_c020_r080,sts,-0.010550642472596497
43,mix_s000_c020_r080,classification,0.005916521052631551
43,mix_s000_c020_r080,classification_transfer,0.006310124999999986
43,mix_s000_c020_r080,clustering,-0.05800600000000003
